GEOID,District,Incumbent Party,Member Last,Member First,RepublicanCandidate,DemocratCandidate,RepCanNames,DemCanNames,RepNeeded,Category
13033,33,R,Powell,Alan,TRUE,FALSE,Rob Leverett (i); Alan Powell (i),,No Republican Challenger Needed,
13034,34,R,Seabaugh,Devan,TRUE,FALSE,Devan Seabaugh (i),,No Republican Challenger Needed,
13035,35,D,Campbell,Lisa,FALSE,TRUE,,Lisa Campbell (i),Republican Challenger Needed!,
13036,36,R,Ehrhart,Ginny,TRUE,FALSE,Ginny Ehrhart (i),,No Republican Challenger Needed,
13037,37,D,Williams,Mary Frances,FALSE,TRUE,,Mary Frances Williams (i),Republican Challenger Needed!,
13038,38,D,Wilkerson,David,FALSE,TRUE,,David Wilkerson (i),Republican Challenger Needed!,
13039,39,D,Cummings,Terry,FALSE,TRUE,,Terry Cummings (i),Republican Challenger Needed!,
13040,40,R,New,Kimberly,TRUE,FALSE,Kimberly New (i),,No Republican Challenger Needed,
13041,41,D,Smith,Michael,FALSE,TRUE,,Michael Smith (i),Republican Challenger Needed!,
13042,42,D,Sanchez,Gabriel,TRUE,TRUE,,Gabriel Sanchez (i),No Republican Challenger Needed,
13043,43,D,Adesanya,Solomon,FALSE,TRUE,,Solomon Adesanya (i),Republican Challenger Needed!,
13044,44,R,Parsons,Don,TRUE,FALSE,Don Parsons (i),,No Republican Challenger Needed,
13045,45,R,Cooper,Sharon,TRUE,FALSE,Sharon Cooper (i),,No Republican Challenger Needed,
13046,46,R,Carson,John,TRUE,TRUE,John Carson (i),Dumont Walker,No Republican Challenger Needed,
13047,47,R,Jones,Jan,TRUE,FALSE,Jan Jones (i),,No Republican Challenger Needed,
13048,48,R,Hilton,Scott,TRUE,FALSE,Scott Hilton (i),,No Republican Challenger Needed,
13049,49,R,Martin,Chuck,TRUE,FALSE,Charles Martin Jr. (i),,No Republican Challenger Needed,
13050,50,D,Au,Michelle,TRUE,TRUE,,Michelle Au (i),No Republican Challenger Needed,
13051,51,D,Panitch,Esther,FALSE,TRUE,,Esther Panitch (i),Republican Challenger Needed!,
13052,52,D,Roberts,Shea,FALSE,TRUE,,Shea Roberts (i),Republican Challenger Needed!,
13053,53,R,Silcox,Deborah,TRUE,FALSE,Deborah Silcox (i),,No Republican Challenger Needed,
13054,54,D,Holland,Betsy,FALSE,TRUE,,Betsy Holland (i),Republican Challenger Needed!,
13055,55,D,Willis,Inga,FALSE,TRUE,,Inga Willis (i),Republican Challenger Needed!,
13056,56,D,Berry,Bryce,FALSE,TRUE,,Bryce Berry (i),Republican Challenger Needed!,
13057,57,D,Evans,Stacey,FALSE,TRUE,,Stacey Evans (i); Jeremiah Olney,Republican Challenger Needed!,
13058,58,D,Cannon,Park,FALSE,TRUE,,Park Cannon (i),Republican Challenger Needed!,
13059,59,D,Olaleye,Phil,FALSE,TRUE,,Phil Olaleye (i),Republican Challenger Needed!,
13060,60,D,Jones,Sheila,FALSE,TRUE,,Sheila Jones (i),Republican Challenger Needed!,
13061,61,D,McQueen,Mekyah,FALSE,TRUE,,Mekyah McQueen (i),Republican Challenger Needed!,
13062,62,D,Miller,Tanya F.,FALSE,TRUE,,Tanya F. Miller (i),Republican Challenger Needed!,
13063,63,D,Schofield,Kim,FALSE,TRUE,,Kim Schofield (i),Republican Challenger Needed!,
13064,64,D,Baker,Sylvia Wayfer,FALSE,TRUE,,Sylvia Wayfer Baker (i),Republican Challenger Needed!,
13065,65,D,Dawson,Robert ,FALSE,TRUE,,Robert  Dawson (i),Republican Challenger Needed!,
13066,66,D,Alexander,Kimberly,FALSE,TRUE,,Kimberly Alexander (i),Republican Challenger Needed!,
13067,67,D,Glaize,Lydia,FALSE,TRUE,,Lydia Glaize (i),Republican Challenger Needed!,
13068,68,D,Jackson,Derrick,FALSE,TRUE,,Derrick Jackson (i); Quentin Pullen; Jane Williams,Republican Challenger Needed!,
13069,69,D,Bazemore,Debra,FALSE,TRUE,,Debra Bazemore (i),Republican Challenger Needed!,
13070,70,R,Smith,Lynn,TRUE,FALSE,Lynn Smith (i),,No Republican Challenger Needed,
13071,71,R,Howard,Jutt,TRUE,FALSE,Justin Howard (i),,No Republican Challenger Needed,
13072,72,R,Huddleston,David,TRUE,TRUE,David Huddleston (i),Scott Hamby,No Republican Challenger Needed,
13073,73,R,Bonner,Josh,TRUE,FALSE,Josh Bonner (i),,No Republican Challenger Needed,
13074,74,D,"Flournoy, Jr.",Robert ,FALSE,TRUE,,Yasmin Neal (i),Republican Challenger Needed!,
13075,75,D,Bell,Eric,FALSE,TRUE,,Eric Bell (i),Republican Challenger Needed!,
13076,76,D,Scott,Sandra,FALSE,TRUE,,Sandra Scott (i),Republican Challenger Needed!,
13077,77,D,Burnough,Rhonda,FALSE,TRUE,,Rhonda Burnough (i),Republican Challenger Needed!,
13078,78,D,Douglas,Demetrius,FALSE,TRUE,,Demetrius Douglas (i),Republican Challenger Needed!,
13079,79,D,Neal,Yasmin,FALSE,TRUE,,Yasmin Neal (i),Republican Challenger Needed!,
13080,80,D,Tran,Long,FALSE,TRUE,,Long Tran (i),Republican Challenger Needed!,
13081,81,R,Kahaian,Noelle,TRUE,FALSE,Noelle Kahaian (i),,No Republican Challenger Needed,
13082,82,R,Mathiak,Karen,TRUE,FALSE,Karen Mathiak (i),,No Republican Challenger Needed,
13083,83,D,Lupton,Karen,FALSE,TRUE,,Karen Lupton (i),Republican Challenger Needed!,
13084,84,D,Oliver,Mary Margaret,FALSE,TRUE,,Omari Crawford (i),Republican Challenger Needed!,
13085,85,D,Drenner,Karla,FALSE,TRUE,,Karla Drenner (i),Republican Challenger Needed!,
13086,86,D,Barnes,Imani,FALSE,TRUE,,Imani Barnes (i),Republican Challenger Needed!,
13087,87,D,Davis,Viola,FALSE,TRUE,,Viola Davis (i),Republican Challenger Needed!,
13088,88,D,Mitchell,Billy,FALSE,TRUE,,Billy Mitchell (i),Republican Challenger Needed!,
13089,89,D,Crawford,Omari,FALSE,TRUE,,Omari Crawford (i),Republican Challenger Needed!,
13090,90,D,Draper,Saira,FALSE,TRUE,,Saira Draper (i),Republican Challenger Needed!,
13091,91,D,Moore,Angela,FALSE,TRUE,,Angela Moore (i),Republican Challenger Needed!,
13092,92,D,Taylor,Rhonda,FALSE,TRUE,,Rhonda Taylor (i),Republican Challenger Needed!,
13093,93,D,Carter,Doreen,FALSE,TRUE,,Doreen Carter (i),Republican Challenger Needed!,
13094,94,N/A,N/A,N/A,FALSE,FALSE,,,Republican Challenger Needed!,
13095,95,D,Kendrick,Dar'shun,TRUE,TRUE,,Zae Brewer,No Republican Challenger Needed,
13096,96,D,Beckles,Arlene,FALSE,TRUE,,Arlene Beckles (i),Republican Challenger Needed!,
13097,97,D,Romman,Ruwa,FALSE,TRUE,,Ruwa Romman (i),Republican Challenger Needed!,
13098,98,D,Lim,Marvin,FALSE,TRUE,,Marvin Lim (i),Republican Challenger Needed!,
13099,99,R,Reeves,Matt,TRUE,FALSE,Matt Reeves (i),,No Republican Challenger Needed,
13100,100,R,Clark,David,TRUE,FALSE,Denise Rumbaugh,,No Republican Challenger Needed,
13101,101,D,Holcomb,Scott,FALSE,TRUE,,Scott Holcomb (i),Republican Challenger Needed!,
13102,102,D,Okoye,Gabe,FALSE,TRUE,,Gabe Okoye (i),Republican Challenger Needed!,
13103,103,R,Hong,Soo,TRUE,FALSE,Soo Hong (i),,No Republican Challenger Needed,
13104,104,R,Efstration,Chuck,TRUE,FALSE,Chuck Efstration (i),,No Republican Challenger Needed,
13105,105,R,Donatucci,Sandy,TRUE,FALSE,Sandy Donatucci (i),,No Republican Challenger Needed,
13106,106,D,Ali,Akbar,TRUE,TRUE,,Akbar Ali (i),No Republican Challenger Needed,
13107,107,D,Park,Sam,FALSE,TRUE,,Samuel Park (i),Republican Challenger Needed!,
13108,108,D,Clark,Jasmine,TRUE,TRUE,,Jasmine Clark (i),No Republican Challenger Needed,
13109,109,D,McClain,Dewey,FALSE,TRUE,,Dewey McClain (i),Republican Challenger Needed!,
13110,110,D,Adeyina,Segun,FALSE,TRUE,,Segun Adeyina (i),Republican Challenger Needed!,
13111,111,R,Martinez,"Reynaldo ""Rey""",TRUE,FALSE,"Reynaldo ""Rey"" Martinez (i)",,No Republican Challenger Needed,
13112,112,R,Williamson,Bruce,TRUE,FALSE,Bruce Williamson (i),,No Republican Challenger Needed,
13113,113,D,Henderson,Sharon,FALSE,TRUE,,Sharon Henderson (i),Republican Challenger Needed!,
13114,114,R,Fleming,Tim,TRUE,FALSE,Brett Mauldin,,No Republican Challenger Needed,
13115,115,D,Lewis-Ward,Regina,FALSE,TRUE,,Regina Lewis-Ward (i),Republican Challenger Needed!,
13116,116,D,Holly,El-Mahdi,FALSE,TRUE,,El-Mahdi Holly (i),Republican Challenger Needed!,
13117,117,D,Santos,Mary Ann,FALSE,TRUE,,Mary Ann Santos (i),Republican Challenger Needed!,
13118,118,R,Crowe,Clint,TRUE,FALSE,Clint Crowe (i),,No Republican Challenger Needed,
13119,119,R,Persinger,Holt,TRUE,FALSE,Holt Persinger (i),,No Republican Challenger Needed,
13120,120,R,Gaines,Houston,TRUE,TRUE,Ward Black; Kris Kendrick; Chad Paton,Suzanna Karatassos,No Republican Challenger Needed,
13121,121,D,Gisler,Eric,TRUE,TRUE,,Eric Gisler (i),No Republican Challenger Needed,
13122,122,D,Frye,Spencer,FALSE,TRUE,,Spencer Frye (i),Republican Challenger Needed!,
13123,123,R,Leverett,Rob,TRUE,FALSE,Rob Leverett (i),,No Republican Challenger Needed,
13124,124,R,Rhodes,Trey,TRUE,FALSE,Trey Rhodes (i),,No Republican Challenger Needed,
13125,125,R,Richardson,Gary,TRUE,FALSE,Gary Richardson (i),,No Republican Challenger Needed,
13126,126,D,"Myles, Jr.",L.C.,FALSE,TRUE,,"L.C. Myles, Jr. (i)",Republican Challenger Needed!,
13127,127,R,Newton,Mark,TRUE,FALSE,Mark Newton (i),,No Republican Challenger Needed,
13128,128,D,Jackson,Mack,TRUE,TRUE,,Mack Jackson (i),No Republican Challenger Needed,
13129,129,D,Howard,Karlton,FALSE,TRUE,,Karlton Howard (i),Republican Challenger Needed!,
13130,130,N/A,N/A,N/A,FALSE,FALSE,,Sheila Clark Nelson,Republican Challenger Needed!,
13131,131,R,Clifton,Rob,TRUE,FALSE,Rob Clifton (i),,No Republican Challenger Needed,
13132,132,D,Prince,Brian,FALSE,TRUE,,Brian Prince (i),Republican Challenger Needed!,
13133,133,R,Mathis,Danny,TRUE,FALSE,Danny Mathis (i),,No Republican Challenger Needed,
13134,134,R,Dickey,Robert ,TRUE,FALSE,Robert Dickey (i),,No Republican Challenger Needed,
13135,135,R,Camp,Beth,TRUE,FALSE,Beth Camp (i),,No Republican Challenger Needed,
13136,136,R,Jenkins,David,TRUE,FALSE,David Jenkins (i),,No Republican Challenger Needed,
13137,137,D,Buckner,Debbie,TRUE,TRUE,,Debbie Buckner (i),No Republican Challenger Needed,
13138,138,R,Smith,Vance,TRUE,FALSE,Vance Smith (i),,No Republican Challenger Needed,
13139,139,R,Rice,Carmen,TRUE,FALSE,Carmen Rice (i),,No Republican Challenger Needed,
13140,140,D,Reese,Tremaine Teddy,FALSE,TRUE,,Teddy Reese (i),Republican Challenger Needed!,
13141,141,D,Hugley,Carolyn,FALSE,TRUE,,Carolyn Hugley (i),Republican Challenger Needed!,
13142,142,D,Paris,Miriam,TRUE,TRUE,,Miriam Paris (i),No Republican Challenger Needed,
13143,143,D,Jones,Anissa,FALSE,TRUE,,Anissa Jones (i),Republican Challenger Needed!,
13144,144,R,Washburn,Dale,TRUE,FALSE,Dale Washburn (i),,No Republican Challenger Needed,
13145,145,D,Herring,Tangie,TRUE,TRUE,,Tangie Herring (i),No Republican Challenger Needed,
13146,146,R,Blackmon,Shaw,TRUE,FALSE,Shaw Blackmon (i),,No Republican Challenger Needed,
13147,147,R,Ballard,Bethany,TRUE,FALSE,Bethany Ballard (i),,No Republican Challenger Needed,
13148,148,R,"Williams, Jr.",Noel,TRUE,FALSE,"Noel Williams, Jr. (i)",,No Republican Challenger Needed,
13149,149,D,Griffin,Floyd,TRUE,TRUE,,Floyd Griffin (i),No Republican Challenger Needed,
13150,150,D,Stinson,Patty Marie,FALSE,TRUE,,Patty Marie Stinson (i),Republican Challenger Needed!,
13151,151,R,Cheokas,Mike,TRUE,FALSE,Mike Cheokas (i),,No Republican Challenger Needed,
13152,152,R,Yearta,Bill,TRUE,FALSE,Bill Yearta (i),,No Republican Challenger Needed,
13153,153,D,Sampson,David,FALSE,TRUE,,David Sampson (i),Republican Challenger Needed!,
13154,154,R,Greene,Gerald,TRUE,FALSE,Gerald Greene (i),,No Republican Challenger Needed,
13155,155,R,Hatchett,Matt,TRUE,FALSE,Matt Hatchett (i),,No Republican Challenger Needed,
13156,156,R,Hagan,Leesa,TRUE,FALSE,Leesa Hagan (i),,No Republican Challenger Needed,
13157,157,R,Werkheiser,Bill,TRUE,FALSE,Bill Werkheiser (i); Bradley Anderson,,No Republican Challenger Needed,
13158,158,R,Parrish,Butch,TRUE,FALSE,Larry Parrish (i),,No Republican Challenger Needed,
13159,159,R,Burns,Jon,TRUE,FALSE,Jon G. Burns (i),,No Republican Challenger Needed,
13160,160,R,Franklin,Lehman,TRUE,FALSE,Lehman Franklin (i),,No Republican Challenger Needed,
13161,161,R,Hitchens,Bill ,TRUE,FALSE,Bill Hitchens (i),,No Republican Challenger Needed,
13162,162,D,Gilliard,Carl,FALSE,TRUE,,Carl Gilliard (i),Republican Challenger Needed!,
13163,163,D,Westbrook,Anne Allen,FALSE,TRUE,,Anne Allen Westbrook (i),Republican Challenger Needed!,
13164,164,R,Stephens,Ron,TRUE,FALSE,Ron Stephens (i),,No Republican Challenger Needed,
13165,165,D,Jackson,Edna,FALSE,TRUE,,Edna Jackson (i),Republican Challenger Needed!,
13166,166,R,Petrea,Jesse,TRUE,FALSE,Jesse Petrea (i),,No Republican Challenger Needed,
13167,167,R,DeLoach,Buddy,TRUE,FALSE,Buddy DeLoach (i),,No Republican Challenger Needed,
13168,168,D,Williams,Al,FALSE,TRUE,,Al Williams (i),Republican Challenger Needed!,
13169,169,R,O'Steen,Angie,TRUE,FALSE,Angie O'Steen (i),,No Republican Challenger Needed,
13170,170,R,Ford,Jaclyn,TRUE,FALSE,Jaclyn Ford (i),,No Republican Challenger Needed,
13171,171,R,Campbell,Joe,TRUE,FALSE,Joe Campbell (i),,No Republican Challenger Needed,
13172,172,R,Cannon,Chas,TRUE,FALSE,Charles Cannon (i),,No Republican Challenger Needed,
13173,173,R,Taylor,Darlene,TRUE,FALSE,Darlene Taylor (i),,No Republican Challenger Needed,
13174,174,R,Corbett,John,TRUE,FALSE,John Corbett (i),,No Republican Challenger Needed,
13175,175,R,LaHood,John,TRUE,FALSE,John LaHood (i),,No Republican Challenger Needed,
13176,176,R,Burchett,James,TRUE,FALSE,Michael Dockery,,No Republican Challenger Needed,
13177,177,D,Sharper,Dexter,FALSE,TRUE,,Dexter Sharper (i),Republican Challenger Needed!,
13178,178,R,Meeks,Steven,TRUE,FALSE,Steven Meeks (i),,No Republican Challenger Needed,
13179,179,R,Townsend,Rick,TRUE,FALSE,Rick Townsend (i),,No Republican Challenger Needed,
13180,180,R,Sainz,Steven,TRUE,FALSE,Steven Sainz (i),,No Republican Challenger Needed,
